month,contact,conversion_rate,n,conversions
apr,telephone,0.24598930481283424,187,46
apr,cellular,0.2016359918200409,2445,493
aug,telephone,0.13382899628252787,269,36
aug,cellular,0.10475545777627349,5909,619
dec,telephone,0.3333333333333333,33,11
dec,cellular,0.5234899328859061,149,78
jul,telephone,0.05380333951762523,1078,58
jul,cellular,0.09694881889763779,6096,591
jun,telephone,0.04668741662961316,4498,210
jun,cellular,0.42560975609756097,820,349
mar,telephone,0.4,60,24
mar,cellular,0.5185185185185185,486,252
may,telephone,0.03296570112713611,8251,272
may,cellular,0.11127220007249003,5518,614
nov,telephone,0.11764705882352941,425,50
nov,cellular,0.09956474428726877,3676,366
oct,telephone,0.4,155,62
oct,cellular,0.4493783303730018,563,253
sep,telephone,0.20454545454545456,88,18
sep,cellular,0.49377593360995853,482,238
